sentence,score
"Holy steaming <url>. I presume you know about the <url>, yes?",-1.527072693
"Good! By the way, what do you think of merging the recurring animals in <url> to <url> and then getting rid of the rest?",0.7182619509
"<url> is having <url> spelling ""<url>"". Perhaps you could help?",0.5680784643
"As I wrote above, at first I thought lets keep it, but after I heard some arguments, and when I made analysis of my own, I got to my conclusion. What's yours?",0.5801439763
"I see you've done a lot of work on hospital-related articles, especially in Oregon. Perhaps you'd like to join us in improving the articles for hospitals in Oregon?",1.392818356
"Re: <url> and <url>, if you think they are better off as redirects to the suburb/town rather than substubs on the lakes with a <nowiki><person></nowiki> tagline, you only need to overwrite the article with a redirect (or revert to a previous version that was a redirect), leaving the substub in the article history. How come you speedied them before redirecting?",-1.189138415
"Hi. Would it be OK to move the timeline to a template, so that all the Mars-related geology pages can point to the same timeline, making updates easier?",0.6958351026999999
Hi. Would you be interested in reviewing <url> for its GA nomination?,0.6711101293
"If you have something to say for keeping that picture, say it here and I'll copy it over to the FFD page. But, frankly, if you can't even be bothered to check out the <url> rules to find out about why the Zguri image isn't acceptable, how do you expect to be able to make any relevant argument about the other one?",-1.327630138
"Good one for the beginning. Is it possible to paint, say, red color an area between the null line and the curve below it, and blue (or green) an area between the null line and the curve above it?",0.623841171
"Are you both ""Dribblingscribe"" and ""Indiestu"" ? Do both those accounts belong to the same person?",-0.6385806876
Thanks for striking out the comment. Any chance of a support/oppose vote?,0.8453220921
"Just looking at that photo and the one in the article makes me feel cold :). I just finished this article <url> a week or so ago, and wonder if those Forward Operating Locations are tied into intercepts from those NORAD radar sites ?",0.5516684356
to the Citations missing template. What's the deal?,-1.572304867
"Yes, I apologize, my friend (I guess I have some kind of a phobia that you will forget about my posts :) ) I will wait as long as you want me to. Could you read Mir Harven's posts on talk page?",1.222241053
Let's pretend that we have reached an impasse and then we can stop talking to each other. Deal?,-0.75251222
I am trying to figure out the exact definition of <url> however do not have access to Andrews. Could you help?,0.9114349711
"Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?",0.6311741556
"Thanks, Wareh. Have to ask, Davey: why is the Circus Maximus article on your page called <url>?",0.6784511889
"Except for the one about the Chevrolet Monza bit at the middle which came from the Prototype book, was in fact come from the Brumos website, but the last time I read that was back in February 2001. Also is with the referencing, the page is now a total mess, is there a way that could be sorted out, I would be very thankful if you could help?",1.261254601
Now why would you do that when he specifically stated that he didn't want to discuss the matter for 48 hours and I specifically stated that people should come here? Did you not read his request?,-1.475357648
"How about this for a novel solution? The next time a banned editor posts something to your page, why not delete it yourself with an edit summary of ""Sorry, I'm topic-banned from discussing this""?",-1.23065377
"'You wrote:'' I'm not trying to be obtuse, but is what you're saying in essence that if we cannot tell whether an award is utterly trivial then that uncertainty becomes sufficient assertion of notability to not apply A7? So if an assumption needs to be made, or discretion employed, A7 doesn't apply because the assertion of notability has been made?",-1.11945642
"Comply with what your talk page says, get off and study!!!! Have you willpower?",-1.6129086190000002
"Hello Jennica, I noticed you revert vandalsm occasionally. Would you like me to grant your account <url> to help you revert vandalism more easily?",0.9679042355
"I don't follow you I was not aware that my edits were vandalism, I was editing according to what had (it appeared to me) been agreed on the talk page, but additional material had been inserted (that had not been agreed upon) that esentialy said the same thing (and was not supported by the sources) that had caused the origioanl disagrement. I think I may have mis-understood you point, are you saying that I can only revert three times if its vandalism, or that my edits were vandalims?",0.5316213811
"ED... They have drugs to fix that now, don't they?",-0.6968992173999999
I've replied to most of the concerns. Could you please look over them?,0.6438955791
I give a glimpse there now and then. What is up?,-0.5144555998
Nice. What SVG editor did you use?,1.071064341
"Yes, I agree. Would you please make the appropriate change?",0.9643510229
Do we have an automated-edit-using editor who's decided to just stick these in for completeness' sake? Did I miss all this?,-1.040843282
"I do not, nor have I ever used other accounts on Wikipedia. Didn't you ask me this before?",-1.090815231
Hm. Are you asking to be banned?,-1.754243795
"Thanks for offer of help on IRC - terminology completely baffling to me (not helped by freenode instructions written as if translated through several languages into final english) - just which channel are admins supposed to log into, and how does one register when it seems by invitation only. Finally what on earth is a cloak ?",1.039268612
"Yeah, but playtime is over. Find some articles to edit, yes?",-1.705078542
O RLY? And what does it do there?,-1.556687285
"Let me know what you'd like me to do. Are you/anyone thinking of copying over the temporary copy wholesale or in parts; destroying the edit history of either, both or neither..?",-0.4785811204
I hope Ed's doesn't look like mine. Wait--what is this navbar we're talking about?,-0.472573165
"Hi JoJan. I see that the template which listed the failed FA attempt on <url> was deleted from the talk page, and I wanted to ask if that is considered OK or not?",0.5595424023
"Martin, sorry to disturb you, but you said that Kelson is making the new ZIM file, where is the location of that file? Does it also reside at <url>?",1.3475868780000002
"Yeah, thank you so much. Can anyone do that or only admins?",1.472376987
"My graphics editing skills aren't up to the creation of a map such as this from scratch, but I could probably do an adequate job of removing the red and orange lines and the related entries in the map legend. Would it be useful for me to take a whack at that?",0.9101662094
"Howdy Mattisse. Haven't I seen you on hockey articles, years ago?",0.8097780855
"Hi there, I've raised the possibility of unprotecting the tamazepam page <url>. What are your thoughts?",1.032675861
"thanks for working on that. but... what is the difference between what you added to the intro, and what was already written below?",0.6985011297
"I've removed my remark. But if somebody puts words in another's mouth, and that second person states that is not what he meant, and the first person responds that no, that ''is'' what the second person meant, well, wouldn't you say that's a little weird?",-0.9264326093
hi Mustafaa I have some historical pictures and some sentences written on them which seems to be arabic. Can you tell me if it is arabic or not if i send you a copy?,0.5333686911
I noticed your nice improvements to <url>. Are you thinking of merging/redirecting <url> to that article?,0.7766705406000001
Replace the 100px with the size you're looking for. Did this help?,0.7140756320999999
"You make it very hard to believe that you're acting in good faith when you rewrite the <url> article to remove all references to ""liberal,"" but keep the phrase ""conservative Independence Institute."" I see POV-pushing when that happens. If you're so concerned about adjectives, why not edit the articles about AEI or Heritage or Americans for Tax Reform?",-2.0560262330000003
"On another subject, have you finished the books I suggested? Want more?",0.7479395515
"Lionel, tell me the truth. How long have you known BelloMello was wMo?",-0.6125936990999999
"Hi, would you have any objection to renaming the sub-categories of <url> to look more like the articles which describe them - i.e. <url> -> <url> and so on?",0.8732124752
"Not that this really needs much more discussion but how did the object described as ""creepy"" change from the email in your first sentence to the administrator in the second? Especially when the original edit stated that the email was creepy, not the administrator?",-1.217162035
"I have also put speedy delete tags on <url> and <url>. Was there any particular reason to move your user/user talk pages to that name, and back again?",-0.7276718498
"So, basically, you're just violating <url> and <url>. Why?",-1.707454536
Hello. Can you help me create a map of Isabela which reflects the 3D map?,0.5618191836
"What's the origin of the data graphed in <url>? The image is used in <url>, which has an in-text cite for solubility characteristics, but could you clarify the source for the graph itself?",0.5263065965
I know there is some discussion at <url> regarding primary topics so I'm unsure if performing this edit would be an ok move. Thoughts?,0.6522002709
The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?,0.5464100618
Out of curiosity what are you testing? How are things going?,0.8544848866
"Your poorly written, bizarre comment makes no sense, since all of my edits in the Al Franken article conform to wikipedia's NPOV policy. What are you talking about?",-2.298733064
"Thanks. Can you leave a comment at <url>, saying you are the creator?",0.7352942847
'The sources are already there!'' Have you even looked at it?,-2.0719002840000003
I'm working on improving the references on Kulwicki's article to get more reliable ones. I've also worked on improving <url>'s article toward GA. Do you know much about drag racing?,0.6570830158
"Hi, do you mind if I move your hook to go live on 26/27th? The GLAM WIKI conference could do with being highlighed by a non US/UK hook?",0.6134136129
"I'm trying to keep Minority Report as a GA, and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?",0.6851591484999999
Could you be more specific. Are there specific points in the article that you believe are repetitive?,0.8406563215999999
<url>. Or is it just me?,-0.6845294170999999
"Hello, I noticed you recently did a lot of work on the ''<url>'' page. I was wondering if you know of the origin of the word ""Nassarius"" - its etymology/ what is it named after?",1.114793561
"I'm usually polite, but this one seemed to need a slap across the face. It's ... words escape me .. mindboggling... jaw-dropping ... ?",-1.244579331
"I think I lot of the things on the Methuselah page are very interesting, but perhaps should be transferred to the Biblical Generations article, if they touch on more than just Methuselah. Would you agree?",0.7683135641
"Ok! First things first, is there anything in particular you would like me to help you out with?",0.9784049542
"The proper title of this image should be Eszopiclone.svg, since it depicts the S enantiomer. Could you change the title so I can upload an image of the racemic compound instead?",0.5644604797
"Sure thing, and thank you for noticing! Is the colour better now?",1.6553323
"Problem is how do you recognise the categories, as there are thousands of them. I have already made a program that scans the database, and can locate the unstubbed articles, so finding the untagged stubs is ok, and AWB automatically adds the stub tag if the article is short, I just can't think how you could program it to automatically guess the type of stub, any ideas?",0.5990216811
"Let me ask you this. Assuming we take it that the player might have chosen any door to start with and the host may have opened any unchosen goat-hiding door, why do you not insist that the starting sample space must include all the possible door combinations?",-1.249050553
Please don't talk like a robot. What harm did it do?,-1.255446025
This is now ready for transfer. I will leave it up to you if that is OK?,1.09505829
"You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?",-0.6065656871
You're joking? <person> and <person> have no word play in spite of the same kanji?,-1.478868707
Great. Any reason why SCIRS is still an essay and not a content guideline?,-0.4704138968999999
"The PressTV references in Wikipedia's ""Turkey-PKK Conflict"" article are not the same, but the titles are wrong. If you have time, can you correct the titles?",0.6979019120000001
"I don't think so, Giano. Can we just once attempt to let this pass by without calling for the heads of people?",-1.483220811
"... then you have to at least meet me half-way. For instance, ""''<url>'' described the episode as displaying ""an exhilarating flair for rapid change of comic gear"" and made commented positively on the scene."" Can you see the problem here?",-1.415059814
"The reason given on the <nowiki><person></nowiki> tag (''""Non-notable book promo""'') seems to have nothing at all to do with the article. Is this on the correct article?",-0.5685118625
"Converting <url> to a redirect without preserving either the information or sources, & without discussion was ill-advised. A bit more care in future?",-1.574061711
Why are you putting <nowiki><person></nowiki> on several pages related with Yu-musicians? IMO this is a pretty <strike>stup</strike> meaningless stub to have; why not <nowiki><person></nowiki> instead?,-1.264187081
"Testing, testing, 1,2, 3, are you still alive? Where are you?",-0.4601168125
Really? When/where did that happen?,-0.6848260853
"Looking at my various edit summaries to <url>, I don't see any where I mentioned anything about another example. Can you say which edit you have in mind?",0.7032258489000001
Good luck with the remaining time for your nomination. BTW: under what section on <url> do you think it should appear?,1.292598889
"Do you disagree with this reasoning?. If so, could you explain why?",0.6711101293
"Hi David, you're good with images. Anything you can do to clean up <url> so it's useful on ITN?",1.81664532
Are you saying that Racepacket attempted to contact Laura's employer? When and where did this happen?,-0.5421532081
I refer you to my last answer about independent sources. Do you have press coverage?,-0.5212326449
Could you please block me indefinitely. If you can't then what do I need to do to get blocked indefinitely?,-0.61230134
Wow that's old! What do you think of <url>?,-0.6627658154
"p.s. I'd be right that you're a supporter of corporal punishment, I presume?",-1.361666345
"Come on Mohrflies, I donxb4t understand why you insist in these edits: <url>? Why ""Yugoslav"" when absolutely no one uses it?",-2.012624172
Especially considering that it took you ''a lot'' more time to vandalize the page than the two seconds it took us to fix it. What's the point?,-1.788774381
"You removed the border issue coverage in <url>, and your explanation was that it's covered in another article. Where is it covered?",-0.6821487242000001
"I started working on missing translations of news titles inside citations, but discovered that square brackets leave an ugly residue, while round ones may not be optimal, since they clash visually with the ""language"" ones. Would it be acceptable to just use the English version as title?",0.5405591966
"BTW, I translated the page to the best of my ability (my Spanish only carried me so far). Do you speak Portuguese?",0.6461704832999999
Okay thanks. Any easy way to determine this?,0.7273851431
thanks for the welcome! I have a question... how come you can't edit the article about Whales?,1.485570514
Thanks. Can you use <url>?,0.9101543631
What's wrong with the standard NBA style for the userbox template? Why can't the Thunder's box look LIKE EVERY OTHER TEAM'S?,-0.9104035416
"WHADDAFUCK YA GONNA DO TO ME, HUH BITCH!?????????",-2.760507281
Can you take a look at the article <url> and the conversation going on at <url> (that should probably be moved to the article talk page). Your thoughts on the most recent commentary?,0.9365205915
Wonderful! :) Do you particularly like to work on comics creators' articles?,0.8949828089
"Hey, can you block this moron from editing the IIHF Page? Or what can i do in such cases?",-1.914914508
What page is this? Why was it deleted?,-0.6403064365
Good catch. Do we have a solution for that yet?,0.5643429870000001
thank you very much for your patience and for listening. how do you think is the best way to resolve these issues?,1.822211586
"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?",1.008833462
"Hello, thank you for adding interesting content to <url> <url>. Are you able to provide <url> that will help the content meet our ""<url>"" standard?",0.8433270177
What do you think? Is there a mistake somewhere?,0.5768269166
Nice work. :) Got anything for <url> or <url>?,0.9728244616
"I see you have been creating lots of articles on bus stations on the <url>. Considering how little information there is (and is likely to be) for these stations, would it not be better to have them all on one article?",-0.5403605736
Further: it seems to me that <url> was a perfectly reasonable dab page. I wonder why you needed to change it?,-1.309210903
Thanks for adding stuff to the update. Would you like to help out with the notifications (the real pain of this ... grrr)?,0.7957539643000001
"He probably couldn't understand the speedy notice. Then again, who knows what goes on in the minds of n00bs?",-1.387592199
"Hey friend, you are missed on here. What's up?",2.167153101
I'm always behind the times. PS- When did you guys decide to ''remove'' the Quebecois nation resolution from that article's introduction?,-0.5998838425
PS do you really think that attrition is a degeneration? Surely it's the norm?,-0.5867430308
I seem to have stuffed up creating 4 April 2009 very badly. Can you help?,0.7318711611
"you need a copy, you say... by that you mean a translation, or one which has been reconstructed to meet en. wiki coding?",-0.4834747961
Rather than tell me how wrong I was to close certain afd's maybe your time would be better spent dealing with the current afd backlog <url>. If my decisions were so wrong why haven't you re-opened them?,-2.117984327
"eh, i've ALWAYS hated 50 meter pools (200 butterfly was always the BIGGEST pain in the ass) although i really did like butterfly for some reason.... never quite got that, so was it an indoor or outdoor pool????",-1.028632553
Doing too many things at once? Not listening ?,-1.126683072
"Maybe you should consider a user name change? To, say, ""Sarah 'The Hammer' Ewart""?",-1.1533106990000002
"Why are you trying to delete my user page, literally less than a minute after I began it. You are allowed one so why not me?",-1.10040547
"Thank you for that, I was having a problem with diffs and the explanation didn't make sense to me. This is the first I have had to do, what is the procedure?",0.5755183818
Can I get some time to finish what I am doing without everything being deleted??,-1.15413236
"As I've only ever tagged one page for speedy deletion before (and that was an obvious cut-and-paste copyvio), I just want to make sure I tagged it properly. Was db-1 the right tag for <url>?",0.8754915685
"Thanks for the response. May I ask, are you a video gamer?",1.054969555
"Cool, Thanks, do you want to add it to their list? or can I?",1.1452264090000002
"Would you be willing to do another pre-FAC review of a different article for me? Specifically, the ""John J. Tigert"" article?",0.5722112072
"I actually went to the long term abuse page right now, and tried to block them, but it seems that those accounts don't exist. Have they been listed incorrectly?",0.5962879224000001
"In instances where there is one major usage of a name and several smaller ones it is conventional to leave the major one in the namespace and have a link in the top to the others (or to <url>. Surely 99.9% of people interested in <url> are going to be looking for the main one, so wouldn't it have made more sense to have left it there rather than making it a redirect?",-0.5068332167
"I don't see how you can use this to discount his trustworthiness and oppose him. If there is consensus to promote among several bureaucrats, what's it matter who actually presses the button?",-1.220779655
"Cool, I'd be happy to help out. :-) What kind of things are you thinking about removing or adding?",1.00642129
"All right, I'll bite. Is honorary membership in the Justice League not criteria enough for being listed in that category?",-0.5704494012
"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",0.6350854408
I just noticed you've added me as a sock puppet for Blue Sea? Can I ask what led you to this conclusion?,-0.6167927094
"Thanks, can we write an article on that ? do you think it is notable enough ?",0.5570720435000001
No problem. :) Did you see the additional notes on the project talk page about the rest of those books from the 70s?,1.070401964
"Okay, let's leave the naming thing posponed for now, why are you reverting the <url>-catagory thing? just because (as you say) Iraq was formed post-WWI that doesn't mean that they aren't the same people?",-0.6233716054999999
"My post above was a helpful hint about following DYK as a whole, not about the nomination process. Would you mind posting your post under a new heading, as it seems to have little to do with what I was saying and seems to be changing the subject?",0.5333195435
"So, Pasquale, you're not interested? Have you ever read <url> article?",-1.241327408
"Okay, so I did what it said and I sent a message to an admin. Now what do I do?",-0.5362568394
"You just created that article - but maybe you haven't noticed there's already <url>, which covers the same character set, as the ISO followed the Thai standard. Maybe you should merge your additions there, and make TIS-620 a redirect?",-0.823899763
"Congratulations, OGoncho! Isn't there a barnstar for things like that?",0.8434827719
"Thanks for your work in cleaning up <url> (which is now finished, but for a few hard cases which likely will require the writing of articles to conform to those links). Would you like to collaborate on another section of this list?",1.087828957
So nearly a year later you change it all again. Why?,-1.300074065
"""''Images with iconic status or historical importance: As subjects of commentary.''"". Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?",-1.781226142
"Hi, I borrowed your bit on Rauls Razor for my userpage. I hope thats okay?",0.7277206234999999
# And what evidence do you have that I am committing revenge? Revenge for what?,-1.510390184
I have an email from the owner of this image that your BOT deleted. Can you please restore this and I can send in the email granting me permission to post?,1.070393658
And why exactly am I looking at your monobook? And why did you substitute your user links onto here?,-1.392074143
"Regarding <url>, <url>, <url>, <url>, <url> and <url>, may I redirect them? Should I leave the merge tag on the talk page?",0.777208395
"Also, 'topological proof'? Isn't 'proof' a bit strong?",-0.7357488668000001
"Hi, Schutz; it's still busted. Would it be OK with you if I asked GimmeBot to take over the mainpage bolding?",1.136728675
"See <url> - not a good revert, and no reason given. Rollback?",-1.002499539
"And DAB uses a very foul language, persistently, is that right? Did I not talk to you about that already?",-1.319960923
I see that countybycounty listing that you have of your travels throughout the USA. I have a county map of the USA suitable for marking for travelling (I've done it for myself); would you like me to Email this user a copy of the map?,1.209470318
"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?",-1.573601396
"But, before you accuse me of shying away from your second to last question, my PhD is in inorganic chemistry, homogeneous catalysis to be specific, but my latest scientific paper was submitted (still with the reviewers) to ''<url>'': it touches on the metrological consequences of the microscopic quantization of ''Q'', as it happens, although that is not its main thrust. So, do you want to thrash this out among scientists, or would you prefer to waste your time with ArbCom?",-0.9229749719
"Hello. Since you have contributed to <url> in the past, could you spare a minute to discuss the fate of <url>?",1.096368622
Oh and you seem to have deleted half of the stuff on <url> ... I presume this was a mistake?,-1.150680817
"Yeah, I'm not sure that I care one way or another, but the 3RR is clearly incorrect. And what happened to <url>?",-0.7880446512
"Um, you know that the last couple of replies have been from someone other than Esprqii? Right?",-1.107851222
While watching the contribs I noticed that the bot blanked <url> which has already been checked and is listed at <url>. Isn't that supposed to be the thing that these lists of MRGs were supposed to prevent?,-0.6906275281
"If you can remember, would you mind giving a bit more information about this photo e.g. where you took it?",0.7684131604000001
"lol thanks. so, australia, huh?",0.6147370328
"Hello Iris. Would you add Straka's signing with a Czech team into, to his page?",0.5726913584000001
"Excellent, thanks! I wonder if it's worth temporarily uploading a cropped image for the main page, as 100x100 is really very small?",1.090294025
"I understand, it could be quite time consuming. Maybe we could do a collab for an article related to Thalia (once I'm finished with some work)?",0.9380333278
Seems to be down again. I assume this is nothing I can resurrect on my own when you have intermittent Internet access like this?,-0.5238066968
I read your publication and enjoyed seeing the relationship between activeness and chance of success to become an admin. Are you planning to do a similar model for bureaucrats?,0.6189743646
"Here's my question, just to be clear, is it possible for the owner to release the picture under a lower resolution for Wikipedia and at the same time retaining the ownership of the higher resolution version? If it is, can you help me process this image?",0.8228402003
"Some time ago you uploaded an image of the Knowledge Navigator, which was speedied some time later. Can you upload the file again?",0.6426180909
"Thanks for the username change. Now, one last thingu2014since the account 'Dalahxe4st' already exists on Swedish Wikipedia and doesn't appear to have been taken over automatically, where should I go to take care of that?",1.303250167
Very nice. Did you visit also Romania or not?,0.8327786009
You're unblocked. Do you want to discuss what the article should be named?,0.5602898593
"Yes, I'm delighted; result after a torturous few days! Um, can we add a Dali or Miro img?",0.5438991868999999
"Firstly who are you? Secondly there seems to be a lot more people involved than just Node ue thirdly I don't care what his view is as long as his edits are neutral, which edits do you dispute?",-2.058820595
You also seem somedeal similar to <url>. Not logging in is not sockpuppetry but do you acknowledge that User:64.194.44.220 is you?,-0.6958307681
"Good day, sorry to bother you. Is the 2:00 am news brief called eyewitness news everynite, and if it is do they play move closer to your world?",0.6598028334
"I've just reinstated the perfectly valid redirect to this. I seem to remember there was some issue years ago with a rock group of the same name, but don't you look at these things before you delete?",-1.5562714990000002
"""The"" house arrest? Shouldn't it either be ""her"" house arrest or just simply ""house arrest""?",-0.532699692
"Errr, okay. But let's make sure our answers are accurate by using <url> rather than something we heard someone say, eh?",-0.9454086604
"By ""this project"" I mean Wikipedia. Do you share the values of civility and consensus?",-0.7173169392000001
"Thank you for your Wikignome-like edits. What do you think, substantively?",1.802679264
You have been accused of sockpuppetry at <url>. Scared?,-1.863347643
"I've noticed that you're engaged in several edit wars, with Meliniki, regarding minor alterations to multiple Greek language articles. Perhaps you should consider discussing the changes on Meliniki's <url> instead?",-0.9279869598
Thanks for the heads up. What damage did they do?,0.5572873538
I'm not even sure who this person is! Which page is this about?,-1.499837379
"The image is only used on ONE page - the site of the film. What is the problem here, and how does it violate wikipedia policy?",-1.372644011
"Self-follow-up: Also, while sometimes the status quo should be maintained, by supporting it in this case, you're also supporting a ""revert-first, ask questions later"" approach to dealing with good faith edits. Is that really what you want?",-0.9808145928
No worries. Can you take another look at the nom?,0.7124294935
"Thanks for clarifying the article - it looks much better now. By the way, is it just me, or does the Trisakti look a bit like the Flag of the Philippines?",1.031191331
"As I have said before, it is an issue of breadth vs. depth. Are you familiar with such concepts?",-1.539942409
I just saw that after I left this message to you. By speech marks do you mean quotation marks?,0.6733802259
"Thanks for your reply. So just to clarify then, you are happy with the number of references, but you just need me to convert each of them into ref/footnote format, and then the article is GA-ready, is that correct?",0.7102681987
"Hi, <url>. Do you have a suggestion as to how these article make Wikipedia better?",0.7479484699
"Okay, I will be glad to help you here! Could you please list the username you would want now?",1.216701663
u2013 Use that dash my friend. How are you geting on?,0.7019196152
Hi Fropuff. How do you convert your commutative diagrams from LaTeX to PNG?,0.5996699289999999
"BTW, nobody else has been keeping that page updated as much as I have worked on it for the entire hockey year, and it would be dead and empty without my work. So, why don't you be positive and praise my work instead of being so picky on such a minor, insignificant thing as putting 'vacant' on-top instead of below a player who no longer is on the team?",-2.2900253530000003
I'm interested in why you reduced the columns from 5 to 2? Could you reply on my talk page please?,1.403242865
"Hi there, I've found some peer-reviewed publications that discuss Hoser's work. Could you take another look at the article and the AfD discussion?",1.451658608
"Thanks for your note, Tom. As a matter of interest, how could you know who someone is based on the IP address?",0.5903334414
"(sorry for delayed response) I think it would be difficult to intergrate them, my program would probably work more easily from a list of articles with typos generated from the database, with the spelling correction code built in to the program. While on the subject, are you planning on running Humanbot again soon?",0.733823498
Personal attacks and refusing to answer questions. What are you hiding?,-1.408265604
There's no tab at the top of the page with a bold EDIT THIS PAGE on it. Is it just my computer?,-0.4742423372
"I'm trying to install Lupin/Anti-vandal tool, but im stuck. Could you help please?",0.943989435
"I never programmed that up because there were so few portal reviews, far fewer even than portal candidates. How often does this happen?",0.5329781475
"Hi, Matt. Aren't you supposed to be banned?",-1.490325865
Someone has moved this article to <url>. Can you please move it back?,0.8502348899
"To be honest, I'm not sure - the decision say ""remove individuals and organizations"" but it also said ""per BLP"" and Abascal is deceased. Perhaps you should ask Timrollpickering, the admin who closed the discussion, to clarify?",0.7410227898999999
Thank you for your kind comment. Do you have a suggestion where the portals should be placed in the article?,1.7856355519999998
"Are you saying that Scotty was being ""hot-headed""? If so, can you please tell us what Scotty did that was ""hot-headed""?",-0.8857619954000001
Many thanks for the review. So what was the truce term ''you'' used when little then?,-0.5770760215
"Thanks! By the way, have you sent anything to Maggie since you received the email from the photographer?",0.9458715654
"Just to let you know, there's a <url> now. I don't know, is this mimicry allowed on Wikipedia?",-0.7515940116
"Hi Editorofthewiki, both images are just fine. I don't see an open review for the article; is there somewhere in particular you'd like me to make this comment, if not just here?",0.8577896097
"Hello Jeffq, I noticed you revert vandalism occasionally. Would you like me to grant your account <url> to help you revert vandalism more easily?",1.94672019
"If there was another film that had the same title and wasn't disambiguated on the 1961 film's page or the short story's page, then I cannot be held responsible. How was I to know that there was another film?",-0.6950675886
I notice you occasionally use that remark in your edit summaries. I understand simple stuff like r and c. What does awai stand for?,0.6432040858
Changing your userpage doesn't answer my question. Why is your userpage a copy of <url>'s?,-0.9103157303
"<url> is at it again, adding in the ""in the Premiership"" content you & I successfully merged several weeks ago. Could you perhaps also drop a note on his talk page asking him to stop?",0.5800423568
"It seems you have been investigating this administrator and have brought up several incidents in your evidence based on that. If possible, could you please link to the feedback that Dreadstar has received as an administrator during/after each of those incidents (and if there was no feedback to any of those incidents, could you please let me know in reply to this)?",1.228225088
"Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?",1.13117027
"If someone is an immigrant and not legally documented, that someone is an illegal immigrant. How can such a rally be anything but pro-illegal-immigration?",-0.7844981293000001
"Thanks, looks like <url> needs some fixin'. By the way, are you honestly ok with me bothering you like this?",1.393202862
